"";"Longitud";"Anchura";"Altura";"Altura.cara";"Anchura.Cara";"Tipo"
"1";21;25;22;14;17;"R1"
"2";7;5;3;2;4;"R1"
"3";2;2;3;8;3;"R1"
"4";3;24;12;3;7;"R1"
"5";10;12;4;19;15;"R1"
"6";11;19;19;12;8;"R1"
"7";13;19;5;10;14;"R1"
"8";13;11;12;14;11;"R1"
"9";8;8;8;9;12;"R1"
"10";1;13;9;1;6;"R1"
"11";12;7;15;11;5;"R1"
"12";5;22;11;4;24;"R1"
"13";14;13;10;16;14;"R1"
"14";17;23;1;18;21;"R1"
"15";3;2;9;6;2;"R1"
"16";6;15;15;10;12;"R1"
"17";4;1;13;5;1;"R1"
"18";16;9;16;17;13;"R2"
"19";13;7;6;15;10;"R2"
"20";22;16;18;13;9;"R2"
"21";18;17;13;18;20;"R2"
"22";15;18;11;21;17;"R2"
"23";8;10;4;12;17;"R2"
"24";20;2;20;18;21;"R2"
"25";10;26;7;18;21;"R2"
"26";24;19;2;17;13;"R2"
"27";26;14;21;24;23;"R2"
"28";19;6;17;23;18;"R2"
"29";9;20;11;15;17;"R2"
"30";23;21;16;20;22;"R2"
"31";25;4;14;22;19;"R2"
"32";16;3;14;7;16;"R2"
